Polymer,SMILES descriptor 1,SMILES descriptor 2,Comonomer percentage,Anion,Amion SMILES,log Li:functional group,approxMW(kDa),approxTg,chain_architecture,logCond60,Temperature (℃)
Poly(ethylene adipate),COC(=O)CCCCC(=O)OC,COC(=O)CCCCC(=O)OC,100,ClO4,[O-]Cl(=O)(=O)=O,-0.838441004,10,-18,linear,-3.599487034,60
Poly(ethylene adipate),COC(=O)CCCCC(=O)OC,COC(=O)CCCCC(=O)OC,100,ClO4,[O-]Cl(=O)(=O)=O,-0.687173328,10,-7,linear,-3.821328683,60
Poly(ethylene adipate),COC(=O)CCCCC(=O)OC,COC(=O)CCCCC(=O)OC,100,ClO4,[O-]Cl(=O)(=O)=O,-0.453090122,10,-8,linear,-4.451206782,60
"Poly(1,4-butylene adipate)",COC(=O)CCCCC(=O)OCCC,COC(=O)CCCCC(=O)OCCC,100,ClO4,[O-]Cl(=O)(=O)=O,-1.529925285,12,-49,linear,-4.0730617,60
"Poly(1,4-butylene adipate)",COC(=O)CCCCC(=O)OCCC,COC(=O)CCCCC(=O)OCCC,100,ClO4,[O-]Cl(=O)(=O)=O,-1.299028407,12,-46,linear,-3.668629327,60
"Poly(1,4-butylene adipate)",COC(=O)CCCCC(=O)OCCC,COC(=O)CCCCC(=O)OCCC,100,ClO4,[O-]Cl(=O)(=O)=O,-0.974517315,12,-42,linear,-3.42999049,60
"Poly(1,4-butylene adipate)",COC(=O)CCCCC(=O)OCCC,COC(=O)CCCCC(=O)OCCC,100,ClO4,[O-]Cl(=O)(=O)=O,-0.622334797,12,-32,linear,-3.69654523,60
"Poly(1,6-hexamethylene adipate)",COC(=O)CCCCC(=O)OCCCCC,COC(=O)CCCCC(=O)OCCCCC,100,ClO4,[O-]Cl(=O)(=O)=O,-1.473521275,3.8,-54,linear,-4.193455555,60
"Poly(1,6-hexamethylene adipate)",COC(=O)CCCCC(=O)OCCCCC,COC(=O)CCCCC(=O)OCCCCC,100,ClO4,[O-]Cl(=O)(=O)=O,-1.242624397,3.8,-49,linear,-3.762938561,60
"Poly(1,6-hexamethylene adipate)",COC(=O)CCCCC(=O)OCCCCC,COC(=O)CCCCC(=O)OCCCCC,100,ClO4,[O-]Cl(=O)(=O)=O,-0.918113305,3.8,-42,linear,-3.462945651,60
"Poly(1,6-hexamethylene adipate)",COC(=O)CCCCC(=O)OCCCCC,COC(=O)CCCCC(=O)OCCCCC,100,ClO4,[O-]Cl(=O)(=O)=O,-0.565930787,3.8,-37,linear,-3.502306134,60
Polycaprolactone,COC(=O)CCCC,COC(=O)CCCC,100,ClO4,[O-]Cl(=O)(=O)=O,-1.46973432,65,-55,linear,-4.607458953,60
Polycaprolactone,COC(=O)CCCC,COC(=O)CCCC,100,ClO4,[O-]Cl(=O)(=O)=O,-1.238837441,65,-50,linear,-3.954548137,60
Polycaprolactone,COC(=O)CCCC,COC(=O)CCCC,100,ClO4,[O-]Cl(=O)(=O)=O,-0.91432635,65,-46,linear,-3.570107735,60
Polycaprolactone,COC(=O)CCCC,COC(=O)CCCC,100,ClO4,[O-]Cl(=O)(=O)=O,-0.562143832,65,-28,linear,-3.926513004,60
1a,COC(=O)CCCC(=O)OC(C),COC(=O)CCCC(=O)OC(C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-2,8.8,-25,linear,-5.588780008,60
1a,COC(=O)CCCC(=O)OC(C),COC(=O)CCCC(=O)OC(C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.397940009,8.8,-21.5,linear,-4.755114516,60
1a,COC(=O)CCCC(=O)OC(C),COC(=O)CCCC(=O)OC(C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.22184875,8.8,-19,linear,-4.62904256,60
1a,COC(=O)CCCC(=O)OC(C),COC(=O)CCCC(=O)OC(C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.096910013,8.8,-16,linear,-4.66122281,60
1a,COC(=O)CCCC(=O)OC(C),COC(=O)CCCC(=O)OC(C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1,8.8,-12,linear,-4.785257582,60
1a,COC(=O)CCCC(=O)OC(C),COC(=O)CCCC(=O)OC(C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.853871964,8.8,-9.5,linear,-4.813752317,60
1b,COC(=O)COCC(=O)OC(C),COC(=O)COCC(=O)OC(C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-2.176091259,6.7,14,linear,-6.539097932,60
1b,COC(=O)COCC(=O)OC(C),COC(=O)COCC(=O)OC(C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.574031268,6.7,18.5,linear,-6.38075676,60
1b,COC(=O)COCC(=O)OC(C),COC(=O)COCC(=O)OC(C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.397940009,6.7,19,linear,-5.951441712,60
1b,COC(=O)COCC(=O)OC(C),COC(=O)COCC(=O)OC(C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.273001272,6.7,22,linear,-5.891551102,60
1b,COC(=O)COCC(=O)OC(C),COC(=O)COCC(=O)OC(C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.176091259,6.7,26,linear,-5.909080719,60
1b,COC(=O)COCC(=O)OC(C),COC(=O)COCC(=O)OC(C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.029963223,6.7,31,linear,-6.534425323,60
2a,COC(=O)CCCC(=O)OC(COCC=C),COC(=O)CCCC(=O)OC(COCC=C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-2.176091259,10.4,-40,branched,-5.151567228,60
2a,COC(=O)CCCC(=O)OC(COCC=C),COC(=O)CCCC(=O)OC(COCC=C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.574031268,10.4,-35,branched,-4.810132698,60
2a,COC(=O)CCCC(=O)OC(COCC=C),COC(=O)CCCC(=O)OC(COCC=C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.397940009,10.4,-34,branched,-4.67520887,60
2a,COC(=O)CCCC(=O)OC(COCC=C),COC(=O)CCCC(=O)OC(COCC=C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.273001272,10.4,-30,branched,-4.507251708,60
2a,COC(=O)CCCC(=O)OC(COCC=C),COC(=O)CCCC(=O)OC(COCC=C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.176091259,10.4,-26,branched,-4.484513804,60
2a,COC(=O)CCCC(=O)OC(COCC=C),COC(=O)CCCC(=O)OC(COCC=C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.029963223,10.4,-23,branched,-4.610508632,60
2b,COC(=O)COCC(=O)OC(COCC=C),COC(=O)COCC(=O)OC(COCC=C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-2.301029996,8.9,-13,branched,-5.256906424,60
2b,COC(=O)COCC(=O)OC(COCC=C),COC(=O)COCC(=O)OC(COCC=C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.698970004,8.9,-9,branched,-4.895870094,60
2b,COC(=O)COCC(=O)OC(COCC=C),COC(=O)COCC(=O)OC(COCC=C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.522878745,8.9,-6,branched,-4.821788801,60
2b,COC(=O)COCC(=O)OC(COCC=C),COC(=O)COCC(=O)OC(COCC=C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.397940009,8.9,-3.5,branched,-4.688594864,60
2b,COC(=O)COCC(=O)OC(COCC=C),COC(=O)COCC(=O)OC(COCC=C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,8.9,0,branched,-4.599761809,60
2b,COC(=O)COCC(=O)OC(COCC=C),COC(=O)COCC(=O)OC(COCC=C),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.15490196,8.9,4,branched,-4.948854422,60
Poly (ethylene succinate),COC(=O)CCC(=O)OC,COC(=O)CCC(=O)OC,100,SCN,[S-]C#N,-1.397940009,23.4,-3,linear,-7.693177742,60
poly(ethylene sebacate),COC(=O)CCCCCCCCC(=O)OC,COC(=O)CCCCCCCCC(=O)OC,100,SCN,[S-]C#N,-1.397940009,33,-37,linear,-7.384470596,60
"poly(1,3- diacetyl-4-imidazolin-2-one)",C1C(N(C(=O)C)C(=O)N1(C(=O)C)),C1C(N(C(=O)C)C(=O)N1(C(=O)C)),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0,47,24,linear,-5.658,60
"poly(1,3- diacetyl-4-imidazolin-2-one)",C1C(N(C(=O)C)C(=O)N1(C(=O)C)),C1C(N(C(=O)C)C(=O)N1(C(=O)C)),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.176091259,47,35,linear,-5.683,60
"poly(1,3- diacetyl-4-imidazolin-2-one)",C1C(N(C(=O)C)C(=O)N1(C(=O)C)),C1C(N(C(=O)C)C(=O)N1(C(=O)C)),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.477121255,47,32,linear,-4.59,60
"poly(1,3- diacetyl-4-imidazolin-2-one)",C1C(N(C(=O)C)C(=O)N1(C(=O)C)),C1C(N(C(=O)C)C(=O)N1(C(=O)C)),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.954242509,47,39,linear,-7.344,60
polymethacrylonitrile,*CC(*)(C)C#N,*CC(*)(C)C#N,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.301029996,170,80,linear,-5.182529456,60
polymethacrylonitrile,*CC(*)(C)C#N,*CC(*)(C)C#N,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.477121255,170,80,linear,-6.728347089,60
polymethacrylonitrile,*CC(*)(C)C#N,*CC(*)(C)C#N,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.77815125,170,80,linear,-6.690203809,60
polymethacrylonitrile,*CC(*)(C)C#N,*CC(*)(C)C#N,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.903089987,170,80,linear,-6.242537778,60
polymethacrylonitrile,*CC(*)(C)C#N,*CC(*)(C)C#N,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.079181246,170,80,linear,-6.735953645,60
polymethacrylonitrile,*CC(*)(C)C#N,*CC(*)(C)C#N,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.204119983,170,80,linear,-6.997216472,60
poly((N -2-cyanoethyl)ethylenimine,*CN(C*)CCC#N,*CN(C*)CCC#N,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1,190,-36,linear,-4.830599842,60
polyvinyl alcohol,CC(O),CC(OC(=O)C),98,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.602059991,125000,58,linear,-6.403909826,60
polyvinyl alcohol,CC(O),CC(OC(=O)C),98,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.602059991,125000,67,linear,-7.23847389,60
polyvinyl alcohol,CC(O),CC(OC(=O)C),98,ClO4,[O-]Cl(=O)(=O)=O,-0.602059991,125000,41,linear,-7.459811029,60
polyvinyl alcohol,CC(O),CC(OC(=O)C),98,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.602059991,125000,59,linear,-7.116898221,60
poly(ethylenimine),CNC,CNC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1.176091259,122664,-17.32891832,linear,-5.541342791,60
poly(ethylenimine),CNC,CNC,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1,122664,-10.24650478,linear,-6.003892002,60
poly(ethylenimine),CNC,CNC,100,ClO4,[O-]Cl(=O)(=O)=O,-1.176091259,122664,-15.39735099,linear,-5.633429112,60
poly(ethylenimine),CNC,CNC,100,ClO4,[O-]Cl(=O)(=O)=O,-1,122664,-0.128771155,linear,-6.379373023,60
poly(N-methylethylenimine),CN(C)C,CN(C)C,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1.204119983,162707,-42.07137601,linear,-6.017038874,60
poly(N-methylethylenimine),CN(C)C,CN(C)C,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1,162707,-33.79323032,linear,-5.971895376,60
poly(N-methylethylenimine),CN(C)C,CN(C)C,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.770852012,162707,4.194260486,linear,-7.030151148,60
poly(N-methylethylenimine),CN(C)C,CN(C)C,100,ClO4,[O-]Cl(=O)(=O)=O,-1.176091259,162707,-53.01692421,linear,-6.497145169,60
poly(N-methylethylenimine),CN(C)C,CN(C)C,100,ClO4,[O-]Cl(=O)(=O)=O,-1,162707,-20.27225901,linear,-7.591916938,60
poly(ethylenimine),CN(C)C,CN(C)C,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1.397940009,50,-36,branched,-4.872981847,60
poly(ethylenimine),CN(C)C,CN(C)C,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1.301029996,50,-31,branched,-4.470348068,60
