smiles,Eea,Egb,Egc,Ei
*Cc1ccc(C(=S)O*)s1,2.9654,2.676,-99.0,6.4155
*Cc1ccc(Nc2ccc(*)s2)s1,1.1194,3.6624,-99.0,5.2507
*Cc1ccc(NC(*)=S)s1,2.0497,2.8469,-99.0,5.7769
*Cc1ccc(NO*)s1,1.3873,3.8409,-99.0,5.1816
*Cc1ccc(Oc2ccc(*)s2)s1,1.2199,4.26,-99.0,5.8606
*Cc1ccc(OC(*)=S)s1,2.3956,3.0541,-99.0,6.155
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,1.9547,2.8214,-99.0,5.1679
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,1.8331,2.7314,-99.0,5.3092
*Cc1ccc(-c2ccc(C(*)=S)s2)cc1,3.0651,1.9323,-99.0,5.8475
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,1.812,2.8951,-99.0,5.3793
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.7487,3.4166,-99.0,5.528
*Cc1ccc(-c2ccc(C(*)=S)cc2)cc1,2.7075,2.5561,-99.0,5.6651
*Cc1ccc(Cc2ccc(*)s2)cc1,0.9966,4.0831,-99.0,5.5737
*Cc1ccc(Cc2ccc(*)cc2)cc1,1.0649,4.2049,-99.0,6.2368
*Cc1ccc(CC(*)=S)cc1,2.6743,2.9253,-99.0,5.9697
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,2.5375,3.4106,-99.0,6.578
*Cc1ccc(C(=O)c2ccc(*)cc2)cc1,2.314,3.8451,-99.0,6.6326
*Cc1ccc(C(=O)C(*)=S)cc1,3.3639,2.5816,-99.0,6.2998
*Cc1ccc(C(=S)c2ccc(*)s2)cc1,3.0211,2.5143,-99.0,5.8109
*Cc1ccc(C(=S)c2ccc(*)cc2)cc1,2.874,2.3058,-99.0,5.6687
*Cc1ccc(C(=S)O*)cc1,2.8319,3.1473,-99.0,6.2737
*Cc1ccc(Nc2ccc(*)s2)cc1,0.9705,3.5013,-99.0,5.4067
*Cc1ccc(Nc2ccc(*)cc2)cc1,0.9546,3.7655,-99.0,5.3392
*Cc1ccc(NC(*)=S)cc1,2.0656,3.5265,-99.0,5.8355
*Cc1ccc(NO*)cc1,0.7333,4.426,-99.0,5.6115
*Cc1ccc(Oc2ccc(*)s2)cc1,1.0627,4.0475,-99.0,5.631
*Cc1ccc(OC(*)=S)cc1,2.2773,3.7121,-99.0,6.2998
*CCc1ccc(-c2ccc(*)s2)s1,1.9411,2.7315,-99.0,5.1709
*CCc1ccc(C(*)=S)s1,3.3272,2.295,-99.0,5.9475
*CCc1ccc(O*)s1,0.6627,4.1608,-99.0,5.5608
*CCc1ccc(-c2ccc(*)s2)cc1,1.6982,2.9495,-99.0,5.4079
*CCc1ccc(C(*)=S)cc1,3.1161,2.7697,-99.0,5.8549
*CCc1ccc(O*)cc1,0.7536,4.052,-99.0,5.6727
*CCCc1ccc(*)s1,0.9489,4.2755,-99.0,5.6976
*CCCc1ccc(*)cc1,0.9937,4.7657,-99.0,5.9933
*CCCC(*)=O,1.2346,5.13,-99.0,6.6298
*CCCC(*)=S,2.3997,2.9464,-99.0,5.7881
*CCC(=O)c1ccc(*)s1,2.6933,3.1093,-99.0,6.6564
*CCC(=O)c1ccc(*)cc1,2.3583,3.6964,-99.0,6.8635
*CCC(=O)C(*)=S,3.1911,1.8131,-99.0,6.4199
*CCC(=S)O*,2.069,3.8308,4.1442,6.2041
*CCNc1ccc(*)s1,0.6915,3.793,-99.0,4.6632
*CCNc1ccc(*)cc1,0.6326,3.689,-99.0,4.8208
*CCNC(*)=S,1.6837,3.6727,-99.0,5.3628
*CCON*,0.6058,5.7904,5.6784,4.8207
*CC(=O)c1ccc(-c2ccc(*)s2)s1,2.8128,2.3893,-99.0,5.6786
*CC(=O)c1ccc(-c2ccc(*)cc2)s1,2.6784,2.5123,-99.0,6.0852
*CC(=O)c1ccc(C(*)=O)s1,3.1941,2.9786,-99.0,7.202
*CC(=O)c1ccc(C(*)=S)s1,3.6254,2.3542,-99.0,6.3101
*CC(=O)c1ccc(O*)s1,2.4711,3.1722,-99.0,6.261
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,2.4129,2.5243,-99.0,5.9294
*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,2.336,3.0649,-99.0,6.2808
*CC(=O)c1ccc(C(*)=O)cc1,2.7979,2.9172,-99.0,7.293
*CC(=O)c1ccc(C(*)=S)cc1,3.7473,2.4669,-99.0,6.4748
*CC(=O)c1ccc(O*)cc1,2.3793,3.8893,-99.0,6.5457
*CC(=O)Cc1ccc(*)s1,1.6069,3.7852,-99.0,6.0343
*CC(=O)Cc1ccc(*)cc1,1.8209,3.781,-99.0,6.2518
*CC(=O)CC(*)=O,1.5258,4.6959,-99.0,5.6663
*CC(=O)CC(*)=S,3.0632,3.1252,-99.0,5.8877
*CC(=O)CO*,1.6393,4.6507,5.3391,6.97
*CC(=O)C(=S)c1ccc(*)s1,3.7805,2.1804,-99.0,6.3305
*CC(=O)C(=S)c1ccc(*)cc1,3.6382,2.4428,-99.0,6.263
*CC(=O)C(=S)C(*)=O,4.8698,1.4812,-99.0,6.8667
*CC(=O)C(=S)O*,2.8847,2.0217,3.8359,6.719
*CC(=O)Nc1ccc(*)s1,1.3272,3.9328,-99.0,5.8021
*CC(=O)Nc1ccc(*)cc1,1.369,3.7951,-99.0,5.8783
*CC(=O)NC(*)=O,1.5835,4.8368,-99.0,5.8547
*CC(=O)NC(*)=S,2.9562,3.0348,-99.0,5.8386
*CC(=O)Oc1ccc(*)s1,1.4534,4.2025,-99.0,6.077
*CC(=O)OC(*)=O,2.2158,5.9215,-99.0,8.5901
*CC(=O)OC(*)=S,3.1169,3.73,-99.0,6.7464
*CC(=S)c1ccc(C(*)=S)s1,2.8676,1.6797,-99.0,4.932
*CC(=S)c1ccc(O*)s1,3.131,1.6344,-99.0,5.946
*CC(=S)c1ccc(C(*)=S)cc1,2.9742,1.4834,-99.0,4.2727
*CC(=S)c1ccc(N*)cc1,3.0309,2.1148,-99.0,5.6636
*CC(=S)c1ccc(O*)cc1,3.1915,2.3706,-99.0,5.926
*CC(=S)CO*,2.5664,2.5314,3.0342,5.5936
*CC(=S)C(=O)O*,3.8755,2.0697,2.7057,6.5803
*CC(=S)NO*,2.2076,3.2554,3.435,5.6761
*CNc1ccc(-c2ccc(*)cc2)s1,1.6671,3.3441,-99.0,5.4046
*CNc1ccc(C(*)=O)s1,2.2797,2.5818,-99.0,5.431
*CNc1ccc(C(*)=S)s1,2.9244,1.6806,-99.0,5.3497
*CNc1ccc(N*)s1,0.5629,3.5157,-99.0,4.8739
*CNc1ccc(O*)s1,0.8203,3.6125,-99.0,5.3042
*CNc1ccc(-c2ccc(*)s2)cc1,1.292,3.1255,-99.0,5.0179
*CNc1ccc(N*)cc1,0.54,3.4981,-99.0,4.6919
*CNc1ccc(O*)cc1,0.7695,3.7495,-99.0,5.1109
*CNCc1ccc(*)s1,1.1612,4.1265,-99.0,5.8087
*CNCc1ccc(*)cc1,1.2974,4.4323,-99.0,6.259
*CNCC(*)=O,1.6269,3.6121,-99.0,6.367
*CNCC(*)=S,2.6857,2.6614,-99.0,6.0922
*CNCN*,0.8689,6.2293,5.1634,6.0806
*CNCO*,0.7624,6.9282,5.5885,6.4057
*CNC(=O)c1ccc(*)s1,1.968,3.849,-99.0,6.3237
*CNC(=O)C(*)=S,4.0732,2.3654,-99.0,7.0203
*CNC(=S)c1ccc(*)s1,2.3974,2.7289,-99.0,5.8964
*CNC(=S)c1ccc(*)cc1,2.3012,3.1832,-99.0,5.75
*CNC(=S)C(*)=O,3.7481,2.1003,-99.0,6.3386
*CNC(=S)N*,1.4813,3.9125,4.2179,5.6855
*CNC(=S)O*,1.5976,4.2201,4.6235,6.2178
*CNOc1ccc(*)s1,1.0659,4.0591,-99.0,5.578
*CNOc1ccc(*)cc1,0.891,4.1647,-99.0,5.7444
*CNOC(*)=S,2.5,3.5947,-99.0,6.7958
*CNON*,0.9652,4.8889,5.3302,6.3414
*COc1ccc(-c2ccc(*)cc2)s1,1.6377,3.0939,-99.0,5.3253
*COc1ccc(O*)s1,0.8857,4.3601,-99.0,5.7358
*COc1ccc(O*)cc1,0.9466,4.685,-99.0,5.8209
*COC(=O)O*,0.7529,7.1042,8.0093,8.8314
*COC(=S)O*,2.0771,3.6556,4.8041,6.8707
*CONC(*)=O,1.2523,5.5012,-99.0,7.3554
*CONO*,0.421,5.9349,6.4799,7.0389
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,3.453,1.2608,-99.0,5.3929
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,4.1032,1.6466,-99.0,6.113
*Oc1ccc(-c2ccc(C(*)=O)s2)s1,2.952,2.3145,-99.0,5.5977
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,3.2278,1.5224,-99.0,5.7571
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)s1,3.7335,1.9265,-99.0,6.0589
*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,2.9075,2.0204,-99.0,5.7839
*C(=O)c1ccc(C(=O)c2ccc(*)s2)s1,4.0693,1.863,-99.0,7.0438
*C(=O)c1ccc(C(=O)C(*)=S)s1,4.6396,1.1902,-99.0,6.8471
*OC(=O)c1ccc(C(*)=O)s1,3.3779,3.202,-99.0,7.3658
*OC(=S)c1ccc(C(*)=O)s1,4.037,2.3663,-99.0,6.7886
*C(=O)c1ccc(Oc2ccc(*)s2)s1,2.882,2.4838,-99.0,6.3539
*C(=O)c1ccc(OC(*)=S)s1,3.2522,1.6701,-99.0,6.8199
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,2.8757,1.7624,-99.0,5.8483
*Oc1ccc(-c2ccc(C(*)=O)cc2)s1,2.3086,2.7538,-99.0,6.028
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,2.6442,2.5479,-99.0,5.9803
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,3.6994,2.0643,-99.0,6.1599
*C(=O)c1ccc(C(=O)c2ccc(*)s2)cc1,3.6543,2.4807,-99.0,7.268
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,2.1866,2.9556,-99.0,6.4709
*C(=O)c1ccc(C(=O)C(*)=S)cc1,3.783,1.6753,-99.0,6.7765
*OC(=S)c1ccc(C(*)=O)cc1,3.4955,2.5144,-99.0,6.7625
*C(=O)c1ccc(Oc2ccc(*)s2)cc1,2.5289,3.0776,-99.0,6.1761
*C(=O)c1ccc(OC(*)=S)cc1,3.2631,2.0547,-99.0,6.7719
*C(=O)Oc1ccc(C(*)=S)s1,3.8482,1.9856,-99.0,6.6347
*Oc1ccc(OC(*)=O)s1,1.7594,3.6706,-99.0,5.9838
*C(=O)Oc1ccc(C(*)=S)cc1,3.6938,2.3448,-99.0,6.6755
*OC(=O)OC(*)=O,2.3361,5.926,-99.0,7.4502
*OC(=S)OC(*)=O,3.1486,3.9378,-99.0,7.3548
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,2.2798,1.5003,-99.0,4.3058
*Cc1ccc(-c2ccc(N*)s2)s1,1.6017,2.8559,-99.0,4.9311
*Nc1ccc(-c2ccc(C(*)=O)s2)s1,2.9191,1.9451,-99.0,5.182
*Nc1ccc(-c2ccc(C(*)=S)s2)s1,3.3026,1.9074,-99.0,5.3242
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,2.0751,1.6397,-99.0,4.3893
*Nc1ccc(-c2ccc(C(*)=S)cc2)s1,2.3374,2.3796,-99.0,5.6909
*Nc1ccc(C(=O)c2ccc(*)s2)s1,3.0129,1.7108,-99.0,5.2456
*Nc1ccc(C(=O)C(*)=S)s1,4.1937,1.4251,-99.0,6.311
*Nc1ccc(C(=S)c2ccc(*)s2)s1,3.5786,1.9993,-99.0,5.2424
*Nc1ccc(C(=S)c2ccc(*)cc2)s1,2.9139,1.7781,-99.0,5.2303
*Nc1ccc(Nc2ccc(*)s2)s1,1.4393,3.4208,-99.0,4.0261
*Nc1ccc(NC(*)=S)s1,2.2133,2.1538,-99.0,5.1241
*Nc1ccc(Oc2ccc(*)s2)s1,1.1067,3.9124,-99.0,5.4925
*Nc1ccc(OC(*)=S)s1,2.3032,2.6588,-99.0,5.6596
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,1.6696,2.587,-99.0,4.896
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,1.9491,1.8163,-99.0,4.4871
*Nc1ccc(-c2ccc(C(*)=S)s2)cc1,3.1722,1.4764,-99.0,5.6224
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,1.8885,1.8733,-99.0,4.5131
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.5312,2.9094,-99.0,4.7817
*Cc1ccc(-c2ccc(N*)cc2)cc1,1.1363,3.4971,-99.0,5.1363
*Nc1ccc(-c2ccc(C(*)=S)cc2)cc1,2.5787,2.3255,-99.0,5.3872
*Nc1ccc(C(=O)c2ccc(*)s2)cc1,2.4618,2.3459,-99.0,5.4547
*Nc1ccc(C(=O)C(*)=S)cc1,4.0513,1.7009,-99.0,6.3689
*Nc1ccc(C(=O)O*)cc1,2.5642,3.977,-99.0,6.8988
*Nc1ccc(C(=S)c2ccc(*)cc2)cc1,3.0683,1.8785,-99.0,5.3904
*Nc1ccc(Nc2ccc(*)s2)cc1,1.0698,2.8374,-99.0,4.9639
*Nc1ccc(Oc2ccc(*)s2)cc1,1.1598,3.4138,-99.0,5.3817
*Nc1ccc(Oc2ccc(*)cc2)cc1,1.1501,3.2074,-99.0,4.8032
*Nc1ccc(OC(*)=S)cc1,2.1606,3.2479,-99.0,5.9088
*NC(=O)c1ccc(-c2ccc(*)cc2)s1,2.6235,1.9448,-99.0,5.5458
*NC(=O)c1ccc(C(*)=O)s1,3.408,2.6812,-99.0,7.093
*NC(=O)c1ccc(C(*)=S)s1,3.7504,1.932,-99.0,6.1268
*NC(=O)c1ccc(O*)s1,2.2174,3.0418,-99.0,6.5697
*NC(=O)c1ccc(-c2ccc(*)s2)cc1,2.1302,1.9266,-99.0,6.1434
*NC(=O)c1ccc(-c2ccc(*)cc2)cc1,2.3815,2.6675,-99.0,5.7787
*NC(=O)c1ccc(C(*)=S)cc1,3.4516,2.4238,-99.0,6.3279
*NC(=O)c1ccc(O*)cc1,2.0709,3.6086,-99.0,6.7472
*NC(=O)C(=S)c1ccc(*)s1,3.9034,0.9512,-99.0,6.6147
*NC(=O)C(=S)c1ccc(*)cc1,3.6154,1.5619,-99.0,6.5245
*NC(=O)C(=S)C(*)=O,5.1781,1.4363,-99.0,6.114
*NC(=O)C(=S)O*,4.3681,2.095,3.3593,7.7235
*NC(=O)Nc1ccc(*)s1,1.6045,3.137,-99.0,4.8361
*NC(=O)NC(*)=O,2.041,3.9867,-99.0,5.9087
*NC(=O)NC(*)=S,3.7029,2.0371,-99.0,7.159
*NC(=O)NO*,1.9635,5.0658,5.5354,7.4857
*NC(=O)Oc1ccc(*)s1,1.551,3.4227,-99.0,5.369
*NC(=O)Oc1ccc(*)cc1,1.3447,3.4546,-99.0,5.9392
*NC(=O)OC(*)=S,3.7701,2.5812,-99.0,7.661
*NC(=S)c1ccc(O*)s1,2.8874,2.3899,-99.0,6.1012
*NC(=S)c1ccc(O*)cc1,2.5935,2.6021,-99.0,5.884
*NC(=S)C(=O)O*,4.0646,1.8481,2.4947,6.5527
*NC(=S)Nc1ccc(*)cc1,2.0356,2.6405,-99.0,5.5113
*NC(=S)NC(*)=S,4.2115,2.0315,-99.0,7.0636
*NC(=S)NO*,2.2894,3.3916,3.4611,5.7438
*NC(=S)OC(*)=S,4.0637,2.4316,-99.0,6.6502
*NOC(=O)O*,1.6985,5.0089,6.2663,7.9654
*NOC(=S)O*,2.7178,3.7133,4.8496,7.5682
*NC(=S)Nc1ccc(NC(=S)Nc2ccc(Oc3ccc(*)cc3)cc2)cc1,2.2298,2.9952,-99.0,5.9845
*NC(=S)Nc1ccc(Cc2ccc(*)cc2)cc1,1.379,3.7898,-99.0,5.378
*CCOCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,0.755,4.5558,-99.0,5.1123
*NC(=O)OC(*)=O,2.561,4.9145,-99.0,8.2121
*OC(=O)C(=S)C(*)=O,5.1004,1.4341,-99.0,7.4364
*OCCC(=O)CC(=O)Oc1ccc(*)cc1,2.0323,3.7901,-99.0,6.7464
*CCOC(=S)NC(=S)c1ccc(N*)cc1,2.6209,2.4106,-99.0,5.413
*CNCCCOCO*,0.6155,6.3311,5.4895,6.3776
*CNCNC(=O)NC(=O)N*,0.7092,5.4,6.2347,6.2252
*CNC(=O)NCOCO*,0.7808,6.6011,6.2147,7.215
*CNC(=O)ONC(=O)NO*,1.4002,5.9707,6.8117,7.4526
*COCOCCCO*,0.6927,7.1737,6.5721,7.1508
*CNCCNC(=O)OC*,0.5903,6.3647,-99.0,6.3844
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,2.7059,2.3992,-99.0,5.4902
*NOC(=O)NCC(=O)NC(*)=O,2.0185,4.9352,-99.0,8.0693
*NCCCNC(=O)NC(*)=O,0.6578,6.0227,-99.0,6.8266
*Nc1ccc(NC(=O)NC(=O)NC(*)=O)s1,1.5146,3.2632,-99.0,5.7225
*NCNC(=O)OC(=O)NC(*)=O,1.6859,5.4649,-99.0,8.0251
*Oc1ccc(C(=O)c2ccc(C(=O)NOC(*)=O)s2)cc1,3.5136,2.9014,-99.0,7.1656
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)s2)s1,2.5399,3.3708,-99.0,6.7826
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,4.1531,2.1503,-99.0,6.9673
*OC(F)(F)c1ccc(C(*)(F)F)s1,2.3901,3.9843,-99.0,7.2935
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)cc2)s1,2.9023,3.9825,-99.0,6.4074
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)cc2)cc1,2.0599,4.1742,-99.0,6.6407
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,4.0037,2.4957,-99.0,6.9546
*OC(F)(F)c1ccc(C(*)(F)F)cc1,2.1427,4.4042,-99.0,7.7355
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,4.1828,2.1029,-99.0,6.7085
*Oc1ccc(C(F)(F)C(*)(F)F)s1,1.9642,4.0762,-99.0,6.8728
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)s1,2.4773,4.0895,-99.0,6.0965
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)cc1,2.3351,3.2719,-99.0,6.3228
*C(=S)c1ccc(C(F)(F)C(*)(F)F)cc1,3.9184,2.3476,-99.0,6.6143
*Oc1ccc(C(F)(F)C(*)(F)F)cc1,1.7411,4.7894,-99.0,6.9837
*c1ccc(CC(F)(F)C(*)(F)F)s1,1.8781,4.5178,-99.0,6.8904
*c1ccc(CC(F)(F)C(*)(F)F)cc1,1.7485,5.11,-99.0,7.001
*C(=O)CC(F)(F)C(*)(F)F,2.8445,5.0395,-99.0,7.9225
*C(=S)CC(F)(F)C(*)(F)F,3.5657,2.143,-99.0,6.438
*NCC(F)(F)C(*)(F)F,0.6587,7.8675,-99.0,8.2676
*OCC(F)(F)C(*)(F)F,0.6148,8.8494,-99.0,9.8385
*c1ccc(C(=O)C(F)(F)C(*)(F)F)s1,3.7613,3.0077,-99.0,7.5565
*c1ccc(C(=O)C(F)(F)C(*)(F)F)cc1,3.4595,3.5762,-99.0,7.7091
